index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
25,01R0899,S,,,S,,S,,,R,S,,R,S,S,S,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0899/pilon/01R0899.vcf,01R0899,SAMN05915259
26,01R0902,S,,,S,,,,,R,S,,R,S,R,S,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0902/pilon/01R0902.vcf,01R0902,SAMN05915252
27,01R0903,R,,,R,,,,,R,R,,R,R,R,R,,R,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0903/pilon/01R0903.vcf,01R0903,SAMN05918552
28,01R0904,S,,,S,,,,,R,R,,R,S,S,S,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0904/pilon/01R0904.vcf,01R0904,SAMN05825228
29,01R0908,S,,,S,,,,,R,S,,R,S,S,S,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0908/pilon/01R0908.vcf,01R0908,SAMN05915268
30,01R0909,S,,,S,,,,,R,S,,R,S,S,S,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R0909/pilon/01R0909.vcf,01R0909,SAMN05915271
31,01R1018,S,,,S,,,,,R,S,,R,S,S,R,,R,S,,R,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1018/pilon/01R1018.vcf,01R1018,SAMN05916232
32,01R1241,,,,R,,,,,R,R,,R,R,R,,,R,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1241/pilon/01R1241.vcf,01R1241,ERS2401376
33,01R1305,S,,,S,,S,,,R,S,,R,S,R,R,,S,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1305/pilon/01R1305.vcf,01R1305,SAMN05915274
34,01R1309,S,,,S,,S,,,R,R,R,R,S,R,R,,R,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/01R1309/pilon/01R1309.vcf,01R1309,SAMN05830710
