index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
4400,SAMEA1707175,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707175/pilon/SAMEA1707175.vcf,SAMEA1707175,SAMEA1707175
4401,SAMEA1707176,S,,,S,,,,,R,,,R,,,,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707176/pilon/SAMEA1707176.vcf,SAMEA1707176,SAMEA1707176
4402,SAMEA1707179,S,,,R,,,,,R,,,R,,,R,,R,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707179/pilon/SAMEA1707179.vcf,SAMEA1707179,SAMEA1707179
4403,SAMEA1707180,R,,,R,,,,,S,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707180/pilon/SAMEA1707180.vcf,SAMEA1707180,SAMEA1707180
4404,SAMEA1707182,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707182/pilon/SAMEA1707182.vcf,SAMEA1707182,SAMEA1707182
4405,SAMEA1707183,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707183/pilon/SAMEA1707183.vcf,SAMEA1707183,SAMEA1707183
4406,SAMEA1707184,S,,,S,,,,,S,,,R,,,R,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707184/pilon/SAMEA1707184.vcf,SAMEA1707184,SAMEA1707184
4407,SAMEA1707187,S,,,S,,,,,S,,,R,,,S,,S,,R,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707187/pilon/SAMEA1707187.vcf,SAMEA1707187,SAMEA1707187
4408,SAMEA1707188,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707188/pilon/SAMEA1707188.vcf,SAMEA1707188,SAMEA1707188
4410,SAMEA1707191,S,,,S,,,,,S,,,R,,,S,,S,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707191/pilon/SAMEA1707191.vcf,SAMEA1707191,SAMEA1707191
4411,SAMEA1707192,S,,,S,,,,,R,,,R,,,S,,R,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707192/pilon/SAMEA1707192.vcf,SAMEA1707192,SAMEA1707192
4412,SAMEA1707194,S,,,S,,,,,S,,,R,,,R,,S,,R,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707194/pilon/SAMEA1707194.vcf,SAMEA1707194,SAMEA1707194
4413,SAMEA1707196,S,,,S,,,,,S,,,R,,,S,,S,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707196/pilon/SAMEA1707196.vcf,SAMEA1707196,SAMEA1707196
4414,SAMEA1707197,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707197/pilon/SAMEA1707197.vcf,SAMEA1707197,SAMEA1707197
4415,SAMEA1707198,S,,,S,,,,,S,,,R,,,S,,S,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707198/pilon/SAMEA1707198.vcf,SAMEA1707198,SAMEA1707198
4417,SAMEA1707201,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707201/pilon/SAMEA1707201.vcf,SAMEA1707201,SAMEA1707201
4418,SAMEA1707202,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707202/pilon/SAMEA1707202.vcf,SAMEA1707202,SAMEA1707202
4420,SAMEA1707205,S,,,S,,,,,R,,,R,,,S,,S,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707205/pilon/SAMEA1707205.vcf,SAMEA1707205,SAMEA1707205
4423,SAMEA1707210,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707210/pilon/SAMEA1707210.vcf,SAMEA1707210,SAMEA1707210
4424,SAMEA1707213,S,,,S,,,,,S,,,R,,,R,,R,,R,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707213/pilon/SAMEA1707213.vcf,SAMEA1707213,SAMEA1707213
4425,SAMEA1707215,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707215/pilon/SAMEA1707215.vcf,SAMEA1707215,SAMEA1707215
4427,SAMEA1707218,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707218/pilon/SAMEA1707218.vcf,SAMEA1707218,SAMEA1707218
4428,SAMEA1707221,,,,,,,,,S,,,S,,,,,,,,R,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707221/pilon/SAMEA1707221.vcf,SAMEA1707221,SAMEA1707221
4429,SAMEA1707223,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707223/pilon/SAMEA1707223.vcf,SAMEA1707223,SAMEA1707223
4430,SAMEA1707225,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707225/pilon/SAMEA1707225.vcf,SAMEA1707225,SAMEA1707225
4435,SAMEA1707234,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707234/pilon/SAMEA1707234.vcf,SAMEA1707234,SAMEA1707234
4436,SAMEA1707235,R,,,R,,,,,R,,,R,,,R,,R,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707235/pilon/SAMEA1707235.vcf,SAMEA1707235,SAMEA1707235
4440,SAMEA1707242,S,,,R,,,,,R,,,R,,,R,,R,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707242/pilon/SAMEA1707242.vcf,SAMEA1707242,SAMEA1707242
4441,SAMEA1707244,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707244/pilon/SAMEA1707244.vcf,SAMEA1707244,SAMEA1707244
4444,SAMEA1707252,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707252/pilon/SAMEA1707252.vcf,SAMEA1707252,SAMEA1707252
4445,SAMEA1707253,S,,,S,,,,,R,,,R,,,S,,S,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707253/pilon/SAMEA1707253.vcf,SAMEA1707253,SAMEA1707253
4447,SAMEA1707258,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707258/pilon/SAMEA1707258.vcf,SAMEA1707258,SAMEA1707258
4448,SAMEA1707261,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707261/pilon/SAMEA1707261.vcf,SAMEA1707261,SAMEA1707261
4449,SAMEA1707263,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707263/pilon/SAMEA1707263.vcf,SAMEA1707263,SAMEA1707263
4452,SAMEA1707267,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707267/pilon/SAMEA1707267.vcf,SAMEA1707267,SAMEA1707267
4453,SAMEA1707269,,,,,,,,,R,,,R,,,,,,,,R,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707269/pilon/SAMEA1707269.vcf,SAMEA1707269,SAMEA1707269
4454,SAMEA1707270,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707270/pilon/SAMEA1707270.vcf,SAMEA1707270,SAMEA1707270
4458,SAMEA1707275,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707275/pilon/SAMEA1707275.vcf,SAMEA1707275,SAMEA1707275
4460,SAMEA1707278,S,,,S,,,,,R,,,R,,,R,,R,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707278/pilon/SAMEA1707278.vcf,SAMEA1707278,SAMEA1707278
4461,SAMEA1707279,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707279/pilon/SAMEA1707279.vcf,SAMEA1707279,SAMEA1707279
4463,SAMEA1707282,R,,,R,,,,,R,,,R,,,R,,R,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707282/pilon/SAMEA1707282.vcf,SAMEA1707282,SAMEA1707282
4464,SAMEA1707284,S,,,S,,,,,S,,,NAN,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707284/pilon/SAMEA1707284.vcf,SAMEA1707284,SAMEA1707284
4465,SAMEA1707286,,,,,,,,,S,,,R,,,,,,,,R,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707286/pilon/SAMEA1707286.vcf,SAMEA1707286,SAMEA1707286
4466,SAMEA1707287,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707287/pilon/SAMEA1707287.vcf,SAMEA1707287,SAMEA1707287
4467,SAMEA1707288,,,,,,,,,S,,,S,,,,,,,,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707288/pilon/SAMEA1707288.vcf,SAMEA1707288,SAMEA1707288
4468,SAMEA1707290,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707290/pilon/SAMEA1707290.vcf,SAMEA1707290,SAMEA1707290
4472,SAMEA1707295,R,,,R,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707295/pilon/SAMEA1707295.vcf,SAMEA1707295,SAMEA1707295
4473,SAMEA1707296,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707296/pilon/SAMEA1707296.vcf,SAMEA1707296,SAMEA1707296
4474,SAMEA1707298,S,,,S,,,,,R,,,R,,,R,,R,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707298/pilon/SAMEA1707298.vcf,SAMEA1707298,SAMEA1707298
4475,SAMEA1707299,S,,,S,,,,,R,,,R,,,R,,R,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707299/pilon/SAMEA1707299.vcf,SAMEA1707299,SAMEA1707299
4476,SAMEA1707300,S,,,S,,,,,S,,,R,,,R,,R,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707300/pilon/SAMEA1707300.vcf,SAMEA1707300,SAMEA1707300
4479,SAMEA1707305,S,,,S,,,,,S,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707305/pilon/SAMEA1707305.vcf,SAMEA1707305,SAMEA1707305
4480,SAMEA1707307,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707307/pilon/SAMEA1707307.vcf,SAMEA1707307,SAMEA1707307
4482,SAMEA1707310,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707310/pilon/SAMEA1707310.vcf,SAMEA1707310,SAMEA1707310
4486,SAMEA1707315,S,,,S,,,,,S,,,R,,,,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707315/pilon/SAMEA1707315.vcf,SAMEA1707315,SAMEA1707315
4487,SAMEA1707316,S,,,R,,,,,R,,,R,,,R,,R,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707316/pilon/SAMEA1707316.vcf,SAMEA1707316,SAMEA1707316
4488,SAMEA1707317,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707317/pilon/SAMEA1707317.vcf,SAMEA1707317,SAMEA1707317
4489,SAMEA1707318,R,,,S,,,,,S,,,R,,,,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707318/pilon/SAMEA1707318.vcf,SAMEA1707318,SAMEA1707318
4490,SAMEA1707320,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707320/pilon/SAMEA1707320.vcf,SAMEA1707320,SAMEA1707320
4491,SAMEA1707323,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707323/pilon/SAMEA1707323.vcf,SAMEA1707323,SAMEA1707323
4492,SAMEA1707327,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707327/pilon/SAMEA1707327.vcf,SAMEA1707327,SAMEA1707327
4493,SAMEA1707329,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707329/pilon/SAMEA1707329.vcf,SAMEA1707329,SAMEA1707329
4496,SAMEA1707334,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707334/pilon/SAMEA1707334.vcf,SAMEA1707334,SAMEA1707334
4498,SAMEA1707337,,,,,,,,,R,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707337/pilon/SAMEA1707337.vcf,SAMEA1707337,SAMEA1707337
4500,SAMEA1707339,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707339/pilon/SAMEA1707339.vcf,SAMEA1707339,SAMEA1707339
4501,SAMEA1707340,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707340/pilon/SAMEA1707340.vcf,SAMEA1707340,SAMEA1707340
4504,SAMEA1707348,R,,,R,,,,,R,,,R,,,,,R,,S,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707348/pilon/SAMEA1707348.vcf,SAMEA1707348,SAMEA1707348
4505,SAMEA1707351,S,,,S,,,,,S,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707351/pilon/SAMEA1707351.vcf,SAMEA1707351,SAMEA1707351
4506,SAMEA1707352,S,,,S,,,,,S,,,R,,,R,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707352/pilon/SAMEA1707352.vcf,SAMEA1707352,SAMEA1707352
4508,SAMEA1707355,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707355/pilon/SAMEA1707355.vcf,SAMEA1707355,SAMEA1707355
4509,SAMEA1707356,S,,,S,,,,,S,,,R,,,,,R,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707356/pilon/SAMEA1707356.vcf,SAMEA1707356,SAMEA1707356
4510,SAMEA1707358,S,,,S,,,,,S,,,R,,,S,,S,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707358/pilon/SAMEA1707358.vcf,SAMEA1707358,SAMEA1707358
4512,SAMEA1707361,R,,,R,,,,,R,,,S,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707361/pilon/SAMEA1707361.vcf,SAMEA1707361,SAMEA1707361
4513,SAMEA1707362,,,,,,,,,R,,,R,,,,,,,,R,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707362/pilon/SAMEA1707362.vcf,SAMEA1707362,SAMEA1707362
4516,SAMEA1707368,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707368/pilon/SAMEA1707368.vcf,SAMEA1707368,SAMEA1707368
4518,SAMEA1707373,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707373/pilon/SAMEA1707373.vcf,SAMEA1707373,SAMEA1707373
4520,SAMEA1707377,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707377/pilon/SAMEA1707377.vcf,SAMEA1707377,SAMEA1707377
4523,SAMEA1707383,S,,,S,,,,,R,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707383/pilon/SAMEA1707383.vcf,SAMEA1707383,SAMEA1707383
4524,SAMEA1707384,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707384/pilon/SAMEA1707384.vcf,SAMEA1707384,SAMEA1707384
4525,SAMEA1707385,S,,,S,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707385/pilon/SAMEA1707385.vcf,SAMEA1707385,SAMEA1707385
4526,SAMEA1707387,S,,,R,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707387/pilon/SAMEA1707387.vcf,SAMEA1707387,SAMEA1707387
4527,SAMEA1707388,S,,,S,,,,,S,,,R,,,,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707388/pilon/SAMEA1707388.vcf,SAMEA1707388,SAMEA1707388
4528,SAMEA1707393,,,,,,,,,R,,,S,,,,,,,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707393/pilon/SAMEA1707393.vcf,SAMEA1707393,SAMEA1707393
4529,SAMEA1707394,S,,,S,,,,,S,,,R,,,S,,S,,S,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707394/pilon/SAMEA1707394.vcf,SAMEA1707394,SAMEA1707394
4531,SAMEA1707397,,,,,,,,,S,,,S,,,,,,,,R,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707397/pilon/SAMEA1707397.vcf,SAMEA1707397,SAMEA1707397
4532,SAMEA1707398,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707398/pilon/SAMEA1707398.vcf,SAMEA1707398,SAMEA1707398
4533,SAMEA1707399,,,,,,,,,R,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707399/pilon/SAMEA1707399.vcf,SAMEA1707399,SAMEA1707399
4535,SAMEA1707402,S,,,S,,,,,R,,,R,,,R,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707402/pilon/SAMEA1707402.vcf,SAMEA1707402,SAMEA1707402
4537,SAMEA1707406,,,,,,,,,S,,,S,,,,,,,,R,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707406/pilon/SAMEA1707406.vcf,SAMEA1707406,SAMEA1707406
4539,SAMEA1707408,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707408/pilon/SAMEA1707408.vcf,SAMEA1707408,SAMEA1707408
4540,SAMEA1707410,S,,,R,,,,,S,,,R,,,R,,R,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707410/pilon/SAMEA1707410.vcf,SAMEA1707410,SAMEA1707410
4541,SAMEA1707413,,,,,,,,,S,,,R,,,,,,,,S,,S,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707413/pilon/SAMEA1707413.vcf,SAMEA1707413,SAMEA1707413
4542,SAMEA1707414,,,,,,,,,S,,,R,,,,,,,,S,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707414/pilon/SAMEA1707414.vcf,SAMEA1707414,SAMEA1707414
4546,SAMEA1707419,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707419/pilon/SAMEA1707419.vcf,SAMEA1707419,SAMEA1707419
4547,SAMEA1707422,S,,,S,,,,,R,,,R,,,S,,S,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707422/pilon/SAMEA1707422.vcf,SAMEA1707422,SAMEA1707422
4549,SAMEA1707425,S,,,R,,,,,S,,,R,,,S,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707425/pilon/SAMEA1707425.vcf,SAMEA1707425,SAMEA1707425
4550,SAMEA1707426,S,,,S,,,,,R,,,R,,,S,,S,,R,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707426/pilon/SAMEA1707426.vcf,SAMEA1707426,SAMEA1707426
4551,SAMEA1707427,S,,,S,,,,,S,,,R,,,R,,R,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707427/pilon/SAMEA1707427.vcf,SAMEA1707427,SAMEA1707427
4555,SAMEA1707435,S,,,S,,,,,R,,,R,,,R,,S,,R,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707435/pilon/SAMEA1707435.vcf,SAMEA1707435,SAMEA1707435
4556,SAMEA1707437,S,,,S,,,,,S,,,R,,,R,,R,,S,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/SAMEA1707437/pilon/SAMEA1707437.vcf,SAMEA1707437,SAMEA1707437
